pickup_community_area,fare,trip_start_month,trip_start_hour,trip_start_day,trip_start_timestamp,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_miles,pickup_census_tract,dropoff_census_tract,payment_type,company,trip_seconds,dropoff_community_area,tips
6.0,8.45,8,3,1,1375585200,41.936237179,-87.656411531,41.892658108,-87.652534484,0.0,,17031243500.0,Cash,Choice Taxi Association,480.0,24.0,0.0
28.0,7.25,1,21,4,1389821400,41.885300022,-87.642808466,41.884987192,-87.620992913,0.0,,17031320100.0,Cash,Taxi Affiliation Services,480.0,32.0,0.0
6.0,38.85,6,17,6,1370625300,41.949829346,-87.64396537,41.97907082,-87.903039661,0.0,,17031980000.0,Credit Card,Taxi Affiliation Services,4140.0,76.0,10.2
32.0,7.45,8,14,6,1407508200,41.884987192,-87.620992913,41.859349715,-87.617358006,1.8,,17031330100.0,Cash,,540.0,33.0,0.0
6.0,24.05,2,17,6,1393004700,41.944226601,-87.655998182,41.874005383,-87.66351755,8.5,,,Cash,,2160.0,28.0,0.0
56.0,22.65,6,21,6,1434749400,41.785998518,-87.750934289,41.879066994,-87.657005027,0.6,,17031833100.0,Credit Card,Taxi Affiliation Services,1080.0,28.0,2.0
76.0,54.85,10,18,5,1381429800,41.97907082,-87.903039661,,,27.5,,,Cash,,2940.0,,0.0
32.0,6.85,6,9,3,1403600400,41.880994471,-87.632746489,,,1.4,,,Cash,Dispatch Taxi Affiliation,480.0,,0.0
76.0,27.45,5,22,5,1368741600,41.980264315,-87.913624596,,,12.1,,,Credit Card,,1860.0,,7.5
32.0,11.05,7,21,3,1374615000,41.880994471,-87.632746489,41.914747305,-87.654007029,0.0,,17031832600.0,Credit Card,Blue Ribbon Taxi Association Inc.,840.0,7.0,2.2
8.0,19.05,1,20,7,1357416900,41.899602111,-87.633308037,41.808916283,-87.596183344,7.7,,,Cash,,1140.0,39.0,0.0
3.0,11.0,12,19,1,1482692400,41.96581197,-87.655878786,42.009622881,-87.670166857,3.0,,,Cash,Choice Taxi Association,720.0,1.0,0.0
32.0,51.05,8,0,5,1375316100,41.880994471,-87.632746489,,,0.0,,,Cash,Dispatch Taxi Affiliation,2460.0,,0.0
32.0,5.45,1,13,4,1421845200,41.880994471,-87.632746489,41.884987192,-87.620992913,0.8,,17031320100.0,Cash,,300.0,32.0,0.0
8.0,3.25,6,16,2,1402934400,41.892042136,-87.63186395,41.89321636,-87.63784421,0.0,,17031081800.0,Cash,,60.0,8.0,0.0
34.0,31.85,4,16,1,1397405700,41.842076117,-87.633973422,,,15.17,,,Credit Card,,1800.0,,6.57
7.0,6.25,8,21,1,1440365400,41.922686284,-87.649488729,41.878865584,-87.625192142,1.5,,,Cash,,300.0,32.0,0.0
76.0,30.25,4,20,4,1429735500,41.97907082,-87.903039661,41.958154876,-87.653021789,14.0,,17031032100.0,Credit Card,Dispatch Taxi Affiliation,1860.0,3.0,6.45
7.0,4.65,5,2,2,1401070500,41.929077655,-87.646293476,41.921778188,-87.651061884,0.7,,17031071100.0,Credit Card,,180.0,7.0,2.0
8.0,8.85,7,17,2,1436203800,41.892507781,-87.626214906,41.904935302,-87.649907226,2.5,,17031842200.0,Cash,Northwest Management LLC,660.0,8.0,0.0
8.0,10.25,9,10,3,1441706400,41.892072635,-87.628874157,41.859349715,-87.617358006,3.1,,17031330100.0,Cash,,900.0,33.0,0.0
32.0,4.5,10,7,1,1476603900,41.880994471,-87.632746489,41.880994471,-87.632746489,0.5,,17031839100.0,Cash,,120.0,32.0,0.0
8.0,5.85,5,19,5,1400180400,41.900265687,-87.63210922,41.892507781,-87.626214906,0.8,,17031081500.0,Credit Card,,420.0,8.0,2.0
32.0,18.45,7,21,3,1373404500,41.878865584,-87.625192142,41.9867118,-87.663416405,7.9,,,Cash,,840.0,77.0,0.0
8.0,8.65,3,18,3,1363716900,41.892507781,-87.626214906,41.880994471,-87.632746489,1.9,,17031839100.0,Cash,,600.0,32.0,0.0
5.0,6.65,2,1,7,1392427800,41.947791586,-87.683834942,41.953582125,-87.72345239,1.7,,,Cash,Taxi Affiliation Services,300.0,16.0,0.0
8.0,6.65,1,13,4,1420636500,41.892042136,-87.63186395,41.877406123,-87.621971652,1.5,,17031320400.0,Cash,Taxi Affiliation Services,480.0,32.0,0.0
32.0,7.25,7,20,2,1469478600,41.884987192,-87.620992913,41.892507781,-87.626214906,1.3,,17031081500.0,Cash,,480.0,8.0,0.0
8.0,5.25,12,8,2,1385973000,41.892507781,-87.626214906,41.89503345,-87.619710672,0.8,,17031081401.0,Cash,,300.0,8.0,0.0
8.0,5.75,7,11,4,1468410300,41.89321636,-87.63784421,41.880994471,-87.632746489,1.0,,17031839100.0,Cash,Top Cab Affiliation,240.0,32.0,0.0
8.0,38.85,10,13,4,1413378000,41.89503345,-87.619710672,41.97907082,-87.903039661,17.7,,17031980000.0,Cash,,2460.0,76.0,0.0
8.0,10.45,6,10,6,1402048800,41.900265687,-87.63210922,41.867902418,-87.642958665,0.1,,17031841900.0,Cash,Taxi Affiliation Services,900.0,28.0,0.0
32.0,9.05,10,17,6,1382118300,41.880994471,-87.632746489,41.891971508,-87.612945414,1.6,,17031081402.0,Cash,Choice Taxi Association,720.0,8.0,0.0
8.0,4.25,1,20,1,1422216900,41.892507781,-87.626214906,41.892042136,-87.63186395,0.0,,17031081700.0,Cash,Taxi Affiliation Services,180.0,8.0,0.0
6.0,6.05,8,3,7,1439608500,41.944226601,-87.655998182,41.944226601,-87.655998182,1.3,,,Credit Card,Taxi Affiliation Services,360.0,6.0,1.4
32.0,11.65,7,19,3,1406056500,41.880994471,-87.632746489,41.920451512,-87.679954768,0.2,,17031832200.0,Credit Card,Taxi Affiliation Services,720.0,22.0,2.7
8.0,10.85,1,1,7,1389402000,41.892072635,-87.628874157,41.912364354,-87.675062757,0.34,,17031240300.0,Cash,,720.0,24.0,0.0
32.0,8.05,4,20,5,1429820100,41.877406123,-87.621971652,41.892072635,-87.628874157,0.0,,17031081600.0,Cash,Choice Taxi Association,720.0,8.0,0.0
8.0,4.85,10,1,1,1413076500,41.892042136,-87.63186395,41.899155613,-87.626210532,0.5,,17031081201.0,Cash,Dispatch Taxi Affiliation,240.0,8.0,0.0
8.0,12.65,12,0,2,1450053900,41.899602111,-87.633308037,41.92276062,-87.699155343,5.1,,,Credit Card,,540.0,22.0,2.0
32.0,7.65,10,13,5,1382622300,41.880994471,-87.632746489,41.89503345,-87.619710672,0.0,,17031081401.0,Cash,Choice Taxi Association,540.0,8.0,0.0
32.0,8.85,12,23,4,1420066800,41.884987192,-87.620992913,41.861280847,-87.630580061,1.9,,17031330200.0,Credit Card,Choice Taxi Association,780.0,33.0,0.0
56.0,24.45,11,13,5,1416488400,41.785998518,-87.750934289,41.870607372,-87.622172937,11.1,,17031320600.0,Credit Card,Taxi Affiliation Services,1080.0,32.0,5.25
28.0,8.65,7,17,5,1437673500,41.879255084,-87.642648998,41.898331794,-87.620762865,1.9,,17031081300.0,Cash,,840.0,8.0,0.0
8.0,8.45,12,0,6,1387497600,41.890922026,-87.618868355,41.861280847,-87.630580061,0.0,,17031330200.0,Cash,Taxi Affiliation Services,600.0,33.0,0.0
32.0,6.5,8,17,3,1470158100,41.877406123,-87.621971652,41.879255084,-87.642648998,1.0,,17031281900.0,Credit Card,,480.0,28.0,1.0
76.0,39.05,7,19,4,1374692400,41.97907082,-87.903039661,41.880994471,-87.632746489,0.0,,17031839100.0,Cash,Top Cab Affiliation,3900.0,32.0,0.0
6.0,36.05,12,7,7,1450511100,41.944226601,-87.655998182,41.79259236,-87.769615453,17.6,,,Cash,KOAM Taxi Association,1740.0,56.0,0.0
8.0,5.25,3,14,5,1394116200,41.892042136,-87.63186395,41.880994471,-87.632746489,0.0,,17031839100.0,Cash,Taxi Affiliation Services,300.0,32.0,0.0
32.0,6.05,4,0,7,1397865600,41.884987192,-87.620992913,41.892042136,-87.63186395,0.0,,17031081700.0,Cash,Blue Ribbon Taxi Association Inc.,420.0,8.0,0.0
