Temperature(F),Dew Point(F),Humidity(%),Wind Speed(mph),Pressure(in),Value
72.26,51.09,50.02,12.825,29.9,10.43
72.05833333,51.72,51.77,12.83416667,29.88,9.6277
71.85666667,52.36,53.52,12.84333333,29.87,9.8952
71.655,52.99,55.28,12.8525,29.86,9.9487
71.45333333,53.62,57.03,12.86166667,29.84,10.644
71.25166667,54.26,58.79,12.87083333,29.83,10.751
71.05,54.89,60.54,12.88,29.82,11.1789
70.78833333,54.78,60.63,12.38583333,29.85,11.4998
70.52666667,54.67,60.72,11.89166667,29.88,11.6603
70.265,54.56,60.81,11.3975,29.92,10.9114
70.00333333,54.45,60.9,10.90333333,29.95,11.2858
69.74166667,54.34,60.99,10.40916667,29.98,10.3231
69.48,54.22,61.08,9.915,30.01,8.7719
69.21833333,54.11,61.18,9.420833333,30.04,8.9324
68.95666667,54,61.27,8.926666667,30.07,8.5045
68.695,53.89,61.36,8.4325,30.1,7.5952
68.43333333,53.78,61.45,7.938333333,30.14,7.4882
68.17166667,53.67,61.54,7.444166667,30.17,7.5417
67.91,53.56,61.63,6.95,30.2,7.7022
67.535,53.77,62.4,6.7025,30.15,7.5952
67.16,53.98,63.18,6.455,30.1,7.0603
66.785,54.19,63.95,6.2075,30.04,6.7394
66.41,54.4,64.72,5.96,29.99,7.3278
66.035,54.61,65.49,5.7125,29.94,6.5789
65.66,54.82,66.26,5.465,29.88,6.2045
65.285,55.02,67.04,5.2175,29.83,5.8301
64.91,55.23,67.81,4.97,29.78,5.9906
64.535,55.44,68.58,4.7225,29.73,5.5092
64.16,55.65,69.36,4.475,29.68,5.1348
63.785,55.86,70.13,4.2275,29.62,5.1883
63.41,56.07,70.9,3.98,29.57,5.2418
63.27,55.95,71.43,4.231666667,29.58,5.0278
63.13,55.82,71.96,4.483333333,29.59,5.0278
62.99,55.7,72.5,4.735,29.6,4.9208
62.85,55.57,73.03,4.986666667,29.61,4.4395
62.71,55.45,73.56,5.238333333,29.62,4.279
62.57,55.32,74.09,5.49,29.62,4.2255
62.43,55.2,74.62,5.741666667,29.63,4.1185
62.29,55.08,75.15,5.993333333,29.64,4.2255
62.15,54.95,75.68,6.245,29.65,4.279
62.01,54.83,76.22,6.496666667,29.66,4.0116
61.87,54.7,76.75,6.748333333,29.67,3.9046
61.73,54.58,77.28,7,29.68,4.065
61.55083333,54.56,77.97,6.416666667,29.74,4.1185
61.37166667,54.54,78.67,5.833333333,29.79,4.172
61.1925,54.52,79.37,5.25,29.84,4.172
61.01333333,54.5,80.06,4.666666667,29.9,4.3325
60.83416667,54.48,80.76,4.083333333,29.96,4.065
60.655,54.46,81.45,3.5,30.01,3.7976
60.47583333,54.43,82.15,2.916666667,30.06,3.8511
60.29666667,54.41,82.84,2.333333333,30.12,3.7441
60.1175,54.39,83.54,1.75,30.18,3.6906
59.93833333,54.37,84.23,1.166666667,30.23,3.8511
59.75916667,54.35,84.93,0.583333333,30.28,3.9046
59.58,54.33,85.62,0,30.34,3.7976
59.94166667,54.48,84.76,0.326666667,30.35,3.7441
60.30333333,54.62,83.9,0.653333333,30.36,3.8511
60.665,54.77,83.04,0.98,30.36,3.9581
61.02666667,54.92,82.19,1.306666667,30.37,3.5837
61.38833333,55.06,81.33,1.633333333,30.38,3.5302
61.75,55.21,80.47,1.96,30.39,3.4767
62.11166667,55.36,79.61,2.286666667,30.4,3.6906
62.47333333,55.5,78.75,2.613333333,30.41,3.7441
62.835,55.65,77.9,2.94,30.42,4.065
63.19666667,55.8,77.04,3.266666667,30.42,4.065
63.55833333,55.94,76.18,3.593333333,30.43,3.9581
63.92,56.09,75.32,3.92,30.44,4.0116
64.52333333,56.41,74.67,4.336666667,30.37,5.7232
65.12666667,56.74,74.01,4.753333333,30.3,6.7929
65.73,57.06,73.36,5.17,30.23,8.344
66.33333333,57.38,72.71,5.586666667,30.16,9.1463
66.93666667,57.7,72.06,6.003333333,30.09,9.6277
67.54,58.03,71.4,6.42,30.02,9.6277
68.14333333,58.35,70.75,6.836666667,29.95,9.6277
68.74666667,58.67,70.1,7.253333333,29.88,9.9487
69.35,58.99,69.45,7.67,29.81,10.9649
69.95333333,59.32,68.79,8.086666667,29.74,10.751
70.55666667,59.64,68.14,8.503333333,29.67,11.0184
71.16,59.96,67.49,8.92,29.6,11.7137
71.29916667,60.24,67.59,8.934166667,29.63,12.3556
71.43833333,60.52,67.69,8.948333333,29.66,14.1742
71.5775,60.8,67.78,8.9625,29.69,16.0997
71.71666667,61.08,67.88,8.976666667,29.72,15.6183
